Time Period Start Date,Indicator,Group,Subgroup,State,Value,LowCI,HighCI
23-01-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,19.9,15.17,23.36
23-01-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,39.71,35.18,41.93
23-01-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,37.7,32.81,39.49
23-01-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,23.46,21.56,25.35
23-01-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,36.41,33.3,38.16
23-01-2022,Received Counseling or Therapy,By Age,65+,USA,30.74,28.98,35.07
30-01-2022,Took Prescription Medication for Mental Health,By State,All,California,22.07,17.94,27.04
30-01-2022,Received Counseling or Therapy,By State,All,California,13.76,12.43,14.81
30-01-2022,Took Prescription Medication for Mental Health,By State,All,Texas,20.02,18.33,24.08
30-01-2022,Received Counseling or Therapy,By State,All,Texas,23.68,21.83,25.42
30-01-2022,Took Prescription Medication for Mental Health,By State,All,Florida,14.12,12.72,17.2
30-01-2022,Received Counseling or Therapy,By State,All,Florida,31.59,28.67,33.01
30-01-2022,Took Prescription Medication for Mental Health,By State,All,New York,24.23,22.09,27.95
30-01-2022,Received Counseling or Therapy,By State,All,New York,15.31,11.99,17.1
30-01-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,32.42,31.27,36.15
30-01-2022,Received Counseling or Therapy,By State,All,Illinois,20.2,16.77,23.53
30-01-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,34.52,31.82,35.57
30-01-2022,Received Counseling or Therapy,National Estimate,All,USA,28.64,25.71,32.28
30-01-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,21.25,20.23,26.19
30-01-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,25.65,22.6,29.39
30-01-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,12.21,10.19,14.93
30-01-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,38.03,36.46,41.53
30-01-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,24.39,20.48,27.92
30-01-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,27.06,22.63,28.63
30-01-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,14.45,12.4,17.11
30-01-2022,Received Counseling or Therapy,By Age,65+,USA,11.48,9.2,13.33
06-02-2022,Took Prescription Medication for Mental Health,By State,All,California,32.02,30.36,36.91
06-02-2022,Received Counseling or Therapy,By State,All,California,26.06,23.54,30.71
06-02-2022,Took Prescription Medication for Mental Health,By State,All,Texas,27.1,24.75,28.7
06-02-2022,Received Counseling or Therapy,By State,All,Texas,29.32,27.86,32.6
06-02-2022,Took Prescription Medication for Mental Health,By State,All,Florida,26.22,23.75,29.12
06-02-2022,Received Counseling or Therapy,By State,All,Florida,16.12,11.83,19.33
06-02-2022,Took Prescription Medication for Mental Health,By State,All,New York,25.62,23.85,28.35
06-02-2022,Received Counseling or Therapy,By State,All,New York,31.69,29.34,32.74
06-02-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,22.93,21.01,26.89
06-02-2022,Received Counseling or Therapy,By State,All,Illinois,16.03,11.75,20.77
06-02-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,33.5,31.06,35.02
06-02-2022,Received Counseling or Therapy,National Estimate,All,USA,20.68,19.47,22.1
06-02-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,14.17,10.76,16.71
06-02-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,35.89,32.87,39.06
06-02-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,14.55,13.18,16.74
06-02-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,14.5,10.02,18.45
06-02-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,28.61,25.39,30.11
06-02-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,34.74,29.8,38
06-02-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,29.95,28.87,34.81
06-02-2022,Received Counseling or Therapy,By Age,65+,USA,36.19,34.7,37.78
13-02-2022,Took Prescription Medication for Mental Health,By State,All,California,23.94,21.27,26.71
13-02-2022,Received Counseling or Therapy,By State,All,California,11.46,7.07,13.2
13-02-2022,Took Prescription Medication for Mental Health,By State,All,Texas,20.03,17.68,22.08
13-02-2022,Received Counseling or Therapy,By State,All,Texas,12.64,9.23,16.97
13-02-2022,Took Prescription Medication for Mental Health,By State,All,Florida,15.51,13.74,19.42
13-02-2022,Received Counseling or Therapy,By State,All,Florida,23.62,21.06,25.55
13-02-2022,Took Prescription Medication for Mental Health,By State,All,New York,33.25,30.01,36.61
13-02-2022,Received Counseling or Therapy,By State,All,New York,14.21,11.54,15.44
13-02-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,19.17,15.41,21.52
13-02-2022,Received Counseling or Therapy,By State,All,Illinois,36.86,34.06,37.88
13-02-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,24.33,21.02,25.4
13-02-2022,Received Counseling or Therapy,National Estimate,All,USA,17.5,15.97,19.26
13-02-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,21.67,19.25,23.77
13-02-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,21.75,17.77,26.53
13-02-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,32.1,28.69,36.01
13-02-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,14.5,13.31,16.03
13-02-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,37.86,34.79,40.23
13-02-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,23.15,21.34,25.63
13-02-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,28.1,24.77,29.29
13-02-2022,Received Counseling or Therapy,By Age,65+,USA,20.62,18.09,25.05
20-02-2022,Took Prescription Medication for Mental Health,By State,All,California,30.61,28.12,33.34
20-02-2022,Received Counseling or Therapy,By State,All,California,34.56,31.84,38.46
20-02-2022,Took Prescription Medication for Mental Health,By State,All,Texas,34.39,32.73,36.85
20-02-2022,Received Counseling or Therapy,By State,All,Texas,27.06,23.25,30.42
20-02-2022,Took Prescription Medication for Mental Health,By State,All,Florida,19.11,15.31,20.34
20-02-2022,Received Counseling or Therapy,By State,All,Florida,13.89,11.83,17.76
20-02-2022,Took Prescription Medication for Mental Health,By State,All,New York,34.79,31.69,38.35
20-02-2022,Received Counseling or Therapy,By State,All,New York,30.57,25.92,32.48
20-02-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,15.41,11.49,18.79
20-02-2022,Received Counseling or Therapy,By State,All,Illinois,19.86,18.29,22.79
20-02-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,16.57,15.3,18.66
20-02-2022,Received Counseling or Therapy,National Estimate,All,USA,21.05,18.08,23.61
20-02-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,25.16,21.99,28.11
20-02-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,14.66,11.98,17.86
20-02-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,12.7,8.92,16.6
20-02-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,33.32,28.97,36.13
20-02-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,11.1,7.21,14.76
20-02-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,36.72,32.93,41.67
20-02-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,11.37,6.92,15.58
20-02-2022,Received Counseling or Therapy,By Age,65+,USA,19.5,16.7,23.94
27-02-2022,Took Prescription Medication for Mental Health,By State,All,California,33.28,31.93,36.11
27-02-2022,Received Counseling or Therapy,By State,All,California,39.69,35.55,43.97
27-02-2022,Took Prescription Medication for Mental Health,By State,All,Texas,23.11,21.62,27.09
27-02-2022,Received Counseling or Therapy,By State,All,Texas,21.67,18.87,24.36
27-02-2022,Took Prescription Medication for Mental Health,By State,All,Florida,12,9.73,16.75
27-02-2022,Received Counseling or Therapy,By State,All,Florida,24.63,20.02,26.59
27-02-2022,Took Prescription Medication for Mental Health,By State,All,New York,34.04,32,38.39
27-02-2022,Received Counseling or Therapy,By State,All,New York,37.04,35,41.38
27-02-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,32.42,29.77,34.55
27-02-2022,Received Counseling or Therapy,By State,All,Illinois,39.84,38.68,44.09
27-02-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,16.15,12.83,19.51
27-02-2022,Received Counseling or Therapy,National Estimate,All,USA,22.7,20.06,24.79
27-02-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,31.06,26.33,33.11
27-02-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,35.42,32.75,38.08
27-02-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,27.07,25.36,31.85
27-02-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,30.44,28.79,31.66
27-02-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,22.3,20.58,26.08
27-02-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,14.75,13.44,18.32
27-02-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,15.15,12.79,16.85
27-02-2022,Received Counseling or Therapy,By Age,65+,USA,11.04,7.55,12.43
06-03-2022,Took Prescription Medication for Mental Health,By State,All,California,13.22,8.88,17.35
06-03-2022,Received Counseling or Therapy,By State,All,California,35.31,31.29,39.78
06-03-2022,Took Prescription Medication for Mental Health,By State,All,Texas,34.6,29.81,36.61
06-03-2022,Received Counseling or Therapy,By State,All,Texas,38.95,36.44,43.08
06-03-2022,Took Prescription Medication for Mental Health,By State,All,Florida,31.84,28.46,33.92
06-03-2022,Received Counseling or Therapy,By State,All,Florida,14.35,11.9,16.24
06-03-2022,Took Prescription Medication for Mental Health,By State,All,New York,32.42,29.66,35.81
06-03-2022,Received Counseling or Therapy,By State,All,New York,13.11,11.58,15.55
06-03-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,20.32,16.77,25.25
06-03-2022,Received Counseling or Therapy,By State,All,Illinois,31.13,27.61,32.41
06-03-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,15.2,14.16,17.94
06-03-2022,Received Counseling or Therapy,National Estimate,All,USA,34.24,31.38,37.12
06-03-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,24.45,21.36,26.35
06-03-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,13.09,10.8,14.82
06-03-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,19.77,16.39,20.92
06-03-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,29.87,25.05,32.23
06-03-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,17.38,14.25,18.76
06-03-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,30.4,28.54,31.8
06-03-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,38.19,33.29,39.79
06-03-2022,Received Counseling or Therapy,By Age,65+,USA,19.29,16.22,20.94
13-03-2022,Took Prescription Medication for Mental Health,By State,All,California,15.47,13.82,17.43
13-03-2022,Received Counseling or Therapy,By State,All,California,37.59,36.41,39.02
13-03-2022,Took Prescription Medication for Mental Health,By State,All,Texas,35.93,31.95,40.5
13-03-2022,Received Counseling or Therapy,By State,All,Texas,19.66,15.29,22.3
13-03-2022,Took Prescription Medication for Mental Health,By State,All,Florida,34.66,33.5,37.94
13-03-2022,Received Counseling or Therapy,By State,All,Florida,16.91,13.55,21.67
13-03-2022,Took Prescription Medication for Mental Health,By State,All,New York,30.83,28.92,33.4
13-03-2022,Received Counseling or Therapy,By State,All,New York,14.13,12.47,15.42
13-03-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,15.71,14.02,20.48
13-03-2022,Received Counseling or Therapy,By State,All,Illinois,14.97,11.27,18.32
13-03-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,15.01,12.82,18.67
13-03-2022,Received Counseling or Therapy,National Estimate,All,USA,34.1,32.26,36.97
13-03-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,16.06,11.97,21
13-03-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,15.75,10.94,20.51
13-03-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,13.52,11.12,17.68
13-03-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,22.47,18.25,27.16
13-03-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,32.31,31.14,36.6
13-03-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,11.03,7.95,15.07
13-03-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,18.08,13.12,20.68
13-03-2022,Received Counseling or Therapy,By Age,65+,USA,12.62,9.77,17.14
20-03-2022,Took Prescription Medication for Mental Health,By State,All,California,25.82,24.6,28.41
20-03-2022,Received Counseling or Therapy,By State,All,California,39.17,35.05,40.81
20-03-2022,Took Prescription Medication for Mental Health,By State,All,Texas,28.55,27.16,30.02
20-03-2022,Received Counseling or Therapy,By State,All,Texas,11.65,6.94,16.49
20-03-2022,Took Prescription Medication for Mental Health,By State,All,Florida,11.55,10.39,13.39
20-03-2022,Received Counseling or Therapy,By State,All,Florida,34.99,33.76,39.67
20-03-2022,Took Prescription Medication for Mental Health,By State,All,New York,21.31,18.32,26.29
20-03-2022,Received Counseling or Therapy,By State,All,New York,17.66,14.81,20.65
20-03-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,10.85,8.4,13.26
20-03-2022,Received Counseling or Therapy,By State,All,Illinois,37.53,34.55,41.14
20-03-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,19.02,16.4,20.22
20-03-2022,Received Counseling or Therapy,National Estimate,All,USA,29.26,25.64,31.18
20-03-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,19.25,17.33,21.13
20-03-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,29.97,25.29,34.45
20-03-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,35.27,33.74,39.66
20-03-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,19.45,16,23.66
20-03-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,36.93,32.41,38.87
20-03-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,11.56,6.67,14.14
20-03-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,12.64,10.92,16.36
20-03-2022,Received Counseling or Therapy,By Age,65+,USA,20.82,17.52,21.99
27-03-2022,Took Prescription Medication for Mental Health,By State,All,California,26.39,21.51,29.77
27-03-2022,Received Counseling or Therapy,By State,All,California,10.5,8.11,12.51
27-03-2022,Took Prescription Medication for Mental Health,By State,All,Texas,21.95,18.24,24.84
27-03-2022,Received Counseling or Therapy,By State,All,Texas,25.87,24.45,29.7
27-03-2022,Took Prescription Medication for Mental Health,By State,All,Florida,12.89,9.39,14.6
27-03-2022,Received Counseling or Therapy,By State,All,Florida,33.86,29.4,35.83
27-03-2022,Took Prescription Medication for Mental Health,By State,All,New York,16.4,11.69,18.55
27-03-2022,Received Counseling or Therapy,By State,All,New York,34.34,31.05,36.67
27-03-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,30.61,26.08,33.08
27-03-2022,Received Counseling or Therapy,By State,All,Illinois,26.49,25.29,27.49
27-03-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,30.19,29.13,34.17
27-03-2022,Received Counseling or Therapy,National Estimate,All,USA,21.92,19.2,24.32
27-03-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,31.43,28.53,34.84
27-03-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,13.83,10.45,16.16
27-03-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,21.68,19.08,24.72
27-03-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,34.04,29.48,38.45
27-03-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,27.09,24.21,30.43
27-03-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,33.92,32.82,38
27-03-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,19.71,15.52,20.75
27-03-2022,Received Counseling or Therapy,By Age,65+,USA,25,21.36,27.74
03-04-2022,Took Prescription Medication for Mental Health,By State,All,California,36.77,31.89,38.93
03-04-2022,Received Counseling or Therapy,By State,All,California,10.05,8.23,14.54
03-04-2022,Took Prescription Medication for Mental Health,By State,All,Texas,30.48,27.13,32.9
03-04-2022,Received Counseling or Therapy,By State,All,Texas,38.72,35.3,42.64
03-04-2022,Took Prescription Medication for Mental Health,By State,All,Florida,25.45,20.48,29.7
03-04-2022,Received Counseling or Therapy,By State,All,Florida,32.85,29.51,36.49
03-04-2022,Took Prescription Medication for Mental Health,By State,All,New York,34.86,31.61,37.18
03-04-2022,Received Counseling or Therapy,By State,All,New York,26.63,21.69,31.58
03-04-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,10.01,8.95,12.67
03-04-2022,Received Counseling or Therapy,By State,All,Illinois,36.53,34.7,38.84
03-04-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,23.76,21.84,25.12
03-04-2022,Received Counseling or Therapy,National Estimate,All,USA,22.54,18.65,23.87
03-04-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,22.54,18.34,26.41
03-04-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,18.09,13.32,20.08
03-04-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,22.23,18.52,24.19
03-04-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,37.59,35.99,41.6
03-04-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,15.53,12.62,17.75
03-04-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,28.84,23.91,31.03
03-04-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,37.71,33.38,38.94
03-04-2022,Received Counseling or Therapy,By Age,65+,USA,20.41,16.83,25.04
10-04-2022,Took Prescription Medication for Mental Health,By State,All,California,13.72,12.46,14.72
10-04-2022,Received Counseling or Therapy,By State,All,California,19.22,16.6,22.95
10-04-2022,Took Prescription Medication for Mental Health,By State,All,Texas,16.62,13.67,18.73
10-04-2022,Received Counseling or Therapy,By State,All,Texas,38.81,36.99,43.53
10-04-2022,Took Prescription Medication for Mental Health,By State,All,Florida,15.06,13.45,17.7
10-04-2022,Received Counseling or Therapy,By State,All,Florida,25.05,22.95,27.98
10-04-2022,Took Prescription Medication for Mental Health,By State,All,New York,24.48,23.17,26.79
10-04-2022,Received Counseling or Therapy,By State,All,New York,19.41,18.35,23.47
10-04-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,34.94,32.17,39.23
10-04-2022,Received Counseling or Therapy,By State,All,Illinois,37.54,33.87,41.37
10-04-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,21.82,18.3,24.41
10-04-2022,Received Counseling or Therapy,National Estimate,All,USA,22.86,21.56,26.07
10-04-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,37.81,36.44,39.36
10-04-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,13.28,8.91,15.97
10-04-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,19.48,18.07,23.9
10-04-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,13.76,11.91,15.26
10-04-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,32.12,29.33,33.79
10-04-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,31.43,30.1,35.3
10-04-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,22.52,19.87,25.39
10-04-2022,Received Counseling or Therapy,By Age,65+,USA,34.32,32.05,35.74
17-04-2022,Took Prescription Medication for Mental Health,By State,All,California,27.38,25.98,30.61
17-04-2022,Received Counseling or Therapy,By State,All,California,21.87,18.12,24.05
17-04-2022,Took Prescription Medication for Mental Health,By State,All,Texas,21.31,18.3,24
17-04-2022,Received Counseling or Therapy,By State,All,Texas,27.56,23.61,32.24
17-04-2022,Took Prescription Medication for Mental Health,By State,All,Florida,20.46,16.04,22.76
17-04-2022,Received Counseling or Therapy,By State,All,Florida,12.86,8.52,14.49
17-04-2022,Took Prescription Medication for Mental Health,By State,All,New York,29.32,26.52,32.02
17-04-2022,Received Counseling or Therapy,By State,All,New York,13.34,10.46,16.15
17-04-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,17.62,14.64,18.96
17-04-2022,Received Counseling or Therapy,By State,All,Illinois,23.37,20.07,25.15
17-04-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,31.18,28.41,34.05
17-04-2022,Received Counseling or Therapy,National Estimate,All,USA,17.39,13.91,20.69
17-04-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,36.25,34.94,37.66
17-04-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,34.4,32.39,39.32
17-04-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,11.78,7.54,13.41
17-04-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,27.11,22.47,30.11
17-04-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,22.1,18.98,26.36
